timestamp,nucleusId,rootId,coord,groupId,subIndex,subCount,kind,pointA,pointB,identified,path,reporterName,reporterEmail,comment,holeLengthUm,holeWidthUm,holeDirection,throughHole
2026-08-07T00:00:00.000Z,150334,,"119225, 86450, 23618",bulkimport_astrohole_11822,1,1,nucleoplasmic_reticulum_2,"119082, 86181, 23595","119212, 86652, 23587",Astrocyte,Bulk import from All own data.xlsx,Søren Grubb (bulk import from All own data.xlsx),,Tip in neuropil / Hole in center of nucleus,,,,"GFAP,ER,Microtubule"
2026-08-07T00:00:00.000Z,55938,,"89471, 92394, 21609",bulkimport_astrohole_11829,1,1,nucleoplasmic_reticulum_2,"89110, 92382, 21591","89336, 92760, 21599",Astrocyte,Bulk import from All own data.xlsx,Søren Grubb (bulk import from All own data.xlsx),,Tip in neuropil / Hole in center of nucleus,,,,"GFAP,Mitochondria"
2026-08-07T00:00:00.000Z,100931,,"104296, 91390, 21347",bulkimport_astrohole_11832,1,1,nucleoplasmic_reticulum_2,"104283, 91513, 21365","104018, 91173, 21354",Astrocyte,Bulk import from All own data.xlsx,Søren Grubb (bulk import from All own data.xlsx),,Tip in neuropil / Hole in center of nucleus,,,,"GFAP,Microtubule"
2026-08-07T00:00:00.000Z,60930,,"85046, 97341, 18598",bulkimport_astrohole_11863,1,1,nucleoplasmic_reticulum_2,"84806, 97008, 18596","84795, 97498, 18599",Astrocyte,Bulk import from All own data.xlsx,Søren Grubb (bulk import from All own data.xlsx),,Tip in neuropil / Hole in center of nucleus,,,,"GFAP,Mitochondria,ER,Microtubule"
2026-08-07T00:00:00.000Z,60642,,"89520, 97167, 17525",bulkimport_astrohole_11874,1,1,nucleoplasmic_reticulum_2,"89652, 97415, 17509","89677, 96910, 17511",Astrocyte,Bulk import from All own data.xlsx,Søren Grubb (bulk import from All own data.xlsx),,Tip in neuropil / Hole in center of nucleus,,,,"GFAP,ER,Microtubule"
2026-08-07T00:00:00.000Z,17667,,"80087, 98036, 16403",bulkimport_astrohole_11884,1,1,nucleoplasmic_reticulum_2,"80927, 97978, 16374","79590, 97575, 16465",Astrocyte,Bulk import from All own data.xlsx,Søren Grubb (bulk import from All own data.xlsx),,Tip in neuropil / Hole in center of nucleus,,,,GFAP
2026-08-07T00:00:00.000Z,252721,,"166012, 82952, 23760",bulkimport_astrohole_11889,1,1,nucleoplasmic_reticulum_2,"165732, 83011, 23785","165935, 82675, 23753",Astrocyte,Bulk import from All own data.xlsx,Søren Grubb (bulk import from All own data.xlsx),,Tip in neuropil / Hole in center of nucleus,,,,"GFAP,ER,Microtubule"
2026-08-07T00:00:00.000Z,287160,,"186453, 82375, 22711",bulkimport_astrohole_11897,1,1,nucleoplasmic_reticulum_2,"186263, 82133, 22733","186648, 82694, 22746",Astrocyte,Bulk import from All own data.xlsx,Søren Grubb (bulk import from All own data.xlsx),,Tip in neuropil / Hole in center of nucleus / 2 nuclei!,,,,"GFAP,ER"
2026-08-07T00:00:00.000Z,252372,,"173797, 84059, 22221",bulkimport_astrohole_11899,1,1,nucleoplasmic_reticulum_2,"174289, 84424, 22176","174077, 84037, 22176",Astrocyte,Bulk import from All own data.xlsx,Søren Grubb (bulk import from All own data.xlsx),,Tip in neuropil / Hole in center of nucleus,,,,GFAP
2026-08-07T00:00:00.000Z,286994,,"186604, 84450, 22133",bulkimport_astrohole_11901,1,1,nucleoplasmic_reticulum_2,"186601, 84154, 22129","186767, 84844, 22125",Astrocyte,Bulk import from All own data.xlsx,Søren Grubb (bulk import from All own data.xlsx),,Tip in neuropil / Hole in center of nucleus,,,,GFAP
2026-08-07T00:00:00.000Z,286666,,"190871, 84727, 21803",bulkimport_astrohole_11904,1,1,nucleoplasmic_reticulum_2,"191427, 84896, 21796","191053, 84446, 21796",Astrocyte,Bulk import from All own data.xlsx,Søren Grubb (bulk import from All own data.xlsx),,Tip in neuropil / Hole in center of nucleus,,,,"GFAP,ER"
2026-08-07T00:00:00.000Z,286592,,"185297, 85391, 21219",bulkimport_astrohole_11905,1,1,nucleoplasmic_reticulum_2,"185446, 85695, 21204","185015, 85065, 21228",Astrocyte,Bulk import from All own data.xlsx,Søren Grubb (bulk import from All own data.xlsx),,Tip in neuropil / Hole in center of nucleus,,,,GFAP
2026-08-07T00:00:00.000Z,251206,,"172215, 88771, 20006",bulkimport_astrohole_11911,1,1,nucleoplasmic_reticulum_2,"171589, 88511, 19939","171541, 88388, 19960",Astrocyte,Bulk import from All own data.xlsx,Søren Grubb (bulk import from All own data.xlsx),,Tip in neuropil / Hole in center of nucleus,,,,GFAP
2026-08-07T00:00:00.000Z,104189,,"104483, 95942, 16409",bulkimport_astrohole_11913,1,1,nucleoplasmic_reticulum_2,"104316, 95769, 16456","104338, 96069, 16470",Astrocyte,Bulk import from All own data.xlsx,Søren Grubb (bulk import from All own data.xlsx),,Tip in neuropil / Hole in center of nucleus,,,,"GFAP,ER"
2026-08-07T00:00:00.000Z,59533,,"88731, 101063, 15242",bulkimport_astrohole_11922,1,1,nucleoplasmic_reticulum_2,"88587, 101546, 15317","88448, 101053, 15278",Astrocyte,Bulk import from All own data.xlsx,Søren Grubb (bulk import from All own data.xlsx),,Tip in neuropil / Hole in center of nucleus / Nice example!,,,,GFAP
2026-08-07T00:00:00.000Z,59580,,"93372, 99579, 14859",bulkimport_astrohole_11927,1,1,nucleoplasmic_reticulum_2,"93398, 99197, 14890","93731, 99462, 14910",Astrocyte,Bulk import from All own data.xlsx,Søren Grubb (bulk import from All own data.xlsx),,Tip in neuropil / Hole in center of nucleus,,,,"GFAP,ER"
2026-08-07T00:00:00.000Z,,,"107559, 103204, 14200",bulkimport_astrohole_11935,1,1,nucleoplasmic_reticulum_2,"107658, 103602, 14158","107919, 103863, 14187",Astrocyte,Bulk import from All own data.xlsx,Søren Grubb (bulk import from All own data.xlsx),,Internal / Hole in center of nucleus,,,,"GFAP,ER"
